Time,Voltage,Current (mA/cm²),Mode,Comm Delay (ms),Exec Time (ms),Total Delay (ms)
498.5,-0.100,14.275630,JVsweep,0.000,35.618,35.618
498.5,-0.090,14.385030,JVsweep,0.000,43.077,43.077
498.6,-0.080,14.241800,JVsweep,0.000,42.826,42.826
498.6,-0.070,14.229350,JVsweep,0.000,41.198,41.198
498.7,-0.060,14.165900,JVsweep,0.000,47.913,47.913
498.7,-0.050,14.173500,JVsweep,0.000,40.801,40.801
498.8,-0.040,14.158920,JVsweep,0.000,48.289,48.289
498.8,-0.030,14.279720,JVsweep,0.000,41.746,41.746
498.9,-0.020,14.395710,JVsweep,0.000,46.985,46.985
498.9,-0.010,14.519710,JVsweep,0.000,41.497,41.497
498.9,-0.000,14.320110,JVsweep,0.000,45.133,45.133
499.0,0.010,14.349170,JVsweep,0.000,48.660,48.660
499.0,0.020,14.496840,JVsweep,0.000,41.103,41.103
499.1,0.030,14.614540,JVsweep,0.000,44.408,44.408
499.1,0.040,14.546580,JVsweep,0.000,41.155,41.155
499.2,0.050,14.497720,JVsweep,0.000,49.744,49.744
499.2,0.060,14.546890,JVsweep,0.000,42.582,42.582
499.3,0.070,14.512040,JVsweep,0.000,47.596,47.596
499.3,0.080,14.326640,JVsweep,0.000,41.117,41.117
499.4,0.090,14.193400,JVsweep,0.000,53.175,53.175
499.4,0.100,14.155010,JVsweep,0.000,47.649,47.649
499.4,0.110,14.193620,JVsweep,0.000,41.278,41.278
499.5,0.120,14.278680,JVsweep,0.000,48.150,48.150
499.5,0.130,14.282990,JVsweep,0.000,41.234,41.234
499.6,0.140,14.118800,JVsweep,0.000,48.073,48.073
499.6,0.150,14.104860,JVsweep,0.000,41.460,41.460
499.7,0.160,14.286670,JVsweep,0.000,46.855,46.855
499.7,0.170,14.420540,JVsweep,0.000,41.515,41.515
499.8,0.180,14.243660,JVsweep,0.000,46.486,46.486
499.8,0.190,14.222030,JVsweep,0.000,48.181,48.181
499.9,0.200,14.155670,JVsweep,0.000,42.464,42.464
499.9,0.210,14.199710,JVsweep,0.000,42.969,42.969
499.9,0.220,14.311050,JVsweep,0.000,41.293,41.293
500.0,0.230,14.259300,JVsweep,0.000,48.215,48.215
500.0,0.240,14.288900,JVsweep,0.000,41.565,41.565
500.1,0.250,14.337960,JVsweep,0.000,48.484,48.484
500.1,0.260,14.259720,JVsweep,0.000,41.518,41.518
500.2,0.270,14.252460,JVsweep,0.000,48.128,48.128
500.2,0.280,14.258110,JVsweep,0.000,41.400,41.400
500.3,0.290,14.204160,JVsweep,0.000,48.068,48.068
500.3,0.300,14.392710,JVsweep,0.000,41.222,41.222
500.3,0.310,14.416060,JVsweep,0.000,48.302,48.302
500.4,0.320,14.319290,JVsweep,0.000,42.305,42.305
500.4,0.330,14.160800,JVsweep,0.000,45.249,45.249
500.5,0.340,14.152840,JVsweep,0.000,47.938,47.938
500.5,0.350,14.197850,JVsweep,0.000,42.235,42.235
500.6,0.360,14.222360,JVsweep,0.000,41.165,41.165
500.6,0.370,14.226410,JVsweep,0.000,41.465,41.465
500.7,0.380,14.201530,JVsweep,0.000,50.807,50.807
500.7,0.390,14.079460,JVsweep,0.000,41.216,41.216
500.7,0.400,14.020110,JVsweep,0.000,53.777,53.777
500.8,0.410,14.063110,JVsweep,0.000,49.200,49.200
